indice_tiempo,medio_de_transporte,pais,balanza
2016-08-01,Aérea,Uruguay,-669
2016-08-01,Aérea,EE.UU. y Canadá,-55011
2016-08-01,Aérea,Resto de América,-32581
2016-08-01,Aérea,Europa,-36941
2016-08-01,Aérea,Resto del mundo,-151
2016-08-01,Fluvial/Marítima,Bolivia,1186
2016-08-01,Fluvial/Marítima,Brasil,4126
2016-08-01,Fluvial/Marítima,Chile,651
2016-08-01,Fluvial/Marítima,Paraguay,-2647
2016-08-01,Fluvial/Marítima,Uruguay,-435
2016-08-01,Fluvial/Marítima,EE.UU. y Canadá,1097
2016-08-01,Fluvial/Marítima,Resto de América,2998
2016-08-01,Fluvial/Marítima,Europa,3979
2016-08-01,Fluvial/Marítima,Resto del mundo,911
2016-08-01,Terrestre,Bolivia,-11062
2016-08-01,Terrestre,Brasil,-27486
2016-08-01,Terrestre,Chile,-58992
2016-08-01,Terrestre,Paraguay,-22163
2016-08-01,Terrestre,Uruguay,-12334
2016-08-01,Terrestre,EE.UU. y Canadá,2460
2016-08-01,Terrestre,Resto de América,9499
2016-08-01,Terrestre,Europa,13711
2016-08-01,Terrestre,Resto del mundo,3532
2016-09-01,Aérea,Bolivia,2110
2016-09-01,Aérea,Brasil,9816
2016-09-01,Aérea,Chile,-15914
2016-09-01,Aérea,Paraguay,1488
2016-09-01,Aérea,Uruguay,-34
2016-09-01,Aérea,EE.UU. y Canadá,-54550
2016-09-01,Aérea,Resto de América,-32103
2016-09-01,Aérea,Europa,-40135
2016-09-01,Aérea,Resto del mundo,1868
2016-09-01,Fluvial/Marítima,Bolivia,888
2016-09-01,Fluvial/Marítima,Brasil,5842
2016-09-01,Fluvial/Marítima,Chile,1001
2016-09-01,Fluvial/Marítima,Paraguay,-1857
2016-09-01,Fluvial/Marítima,Uruguay,-658
2016-09-01,Fluvial/Marítima,EE.UU. y Canadá,1220
2016-09-01,Fluvial/Marítima,Resto de América,3314
2016-09-01,Fluvial/Marítima,Europa,3862
2016-09-01,Fluvial/Marítima,Resto del mundo,1122
2016-09-01,Terrestre,Bolivia,-7591
2016-09-01,Terrestre,Brasil,-30398
2016-09-01,Terrestre,Chile,-57818
2016-09-01,Terrestre,Paraguay,-12900
2016-09-01,Terrestre,Uruguay,-3106
2016-09-01,Terrestre,EE.UU. y Canadá,2134
2016-09-01,Terrestre,Resto de América,7949
2016-09-01,Terrestre,Europa,11552
2016-09-01,Terrestre,Resto del mundo,3479
2016-10-01,Aérea,Bolivia,2801
2016-10-01,Aérea,Brasil,-12715
2016-10-01,Aérea,Chile,-23914
2016-10-01,Aérea,Paraguay,1081
2016-10-01,Aérea,Uruguay,-2127
2016-10-01,Aérea,EE.UU. y Canadá,-59868
2016-10-01,Aérea,Resto de América,-28612
2016-10-01,Aérea,Europa,-40891
2016-10-01,Aérea,Resto del mundo,4086
2016-10-01,Fluvial/Marítima,Bolivia,2369
2016-10-01,Fluvial/Marítima,Brasil,5046
2016-10-01,Fluvial/Marítima,Chile,1030
2016-10-01,Fluvial/Marítima,Paraguay,-3423
2016-10-01,Fluvial/Marítima,Uruguay,-12638
2016-10-01,Fluvial/Marítima,EE.UU. y Canadá,1952
2016-10-01,Fluvial/Marítima,Resto de América,4741
2016-10-01,Fluvial/Marítima,Europa,5884
2016-10-01,Fluvial/Marítima,Resto del mundo,1421
2016-10-01,Terrestre,Bolivia,681
2016-10-01,Terrestre,Brasil,-33212
2016-10-01,Terrestre,Chile,-92202
2016-10-01,Terrestre,Paraguay,-21568
2016-10-01,Terrestre,Uruguay,-23463
2016-10-01,Terrestre,EE.UU. y Canadá,2908
2016-10-01,Terrestre,Resto de América,11052
2016-10-01,Terrestre,Europa,20485
2016-10-01,Terrestre,Resto del mundo,5625
2016-11-01,Aérea,Bolivia,2774
2016-11-01,Aérea,Brasil,-9196
2016-11-01,Aérea,Chile,-19673
2016-11-01,Aérea,Paraguay,1025
2016-11-01,Aérea,Uruguay,-3444
2016-11-01,Aérea,EE.UU. y Canadá,-31131
2016-11-01,Aérea,Resto de América,-25031
2016-11-01,Aérea,Europa,6780
2016-11-01,Aérea,Resto del mundo,3410
2016-11-01,Fluvial/Marítima,Bolivia,817
2016-11-01,Fluvial/Marítima,Brasil,4802
2016-11-01,Fluvial/Marítima,Chile,208
2016-11-01,Fluvial/Marítima,Paraguay,-2665
2016-11-01,Fluvial/Marítima,Uruguay,-20840
2016-11-01,Fluvial/Marítima,EE.UU. y Canadá,5649
2016-11-01,Fluvial/Marítima,Resto de América,5436
2016-11-01,Fluvial/Marítima,Europa,11716
2016-11-01,Fluvial/Marítima,Resto del mundo,1892
2016-11-01,Terrestre,Bolivia,-652
2016-11-01,Terrestre,Brasil,-22129
2016-11-01,Terrestre,Chile,-81765
2016-11-01,Terrestre,Paraguay,-20827
2016-11-01,Terrestre,Uruguay,-31718
2016-11-01,Terrestre,EE.UU. y Canadá,4780
2016-11-01,Terrestre,Resto de América,11742
2016-11-01,Terrestre,Europa,34812
2016-11-01,Terrestre,Resto del mundo,6048
2016-12-01,Aérea,Bolivia,4937
2016-12-01,Aérea,Brasil,-18620
2016-12-01,Aérea,Chile,-20989
2016-12-01,Aérea,Paraguay,2334
2016-12-01,Aérea,Uruguay,-5792
2016-12-01,Aérea,EE.UU. y Canadá,-28235
2016-12-01,Aérea,Resto de América,-11688
2016-12-01,Aérea,Europa,26123
2016-12-01,Aérea,Resto del mundo,4567
2016-12-01,Fluvial/Marítima,Bolivia,816
