indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2010-07-01,Fluvial/Marítima,Bolivia,3658
2010-07-01,Fluvial/Marítima,Brasil,13531
2010-07-01,Fluvial/Marítima,Chile,1193
2010-07-01,Fluvial/Marítima,Paraguay,5930
2010-07-01,Fluvial/Marítima,Uruguay,42867
2010-07-01,Fluvial/Marítima,EE.UU. y Canadá,2666
2010-07-01,Fluvial/Marítima,Resto de América,5179
2010-07-01,Fluvial/Marítima,Europa,4508
2010-07-01,Fluvial/Marítima,Resto del mundo,851
2010-07-01,Terrestre,Bolivia,19532
2010-07-01,Terrestre,Brasil,32766
2010-07-01,Terrestre,Chile,50277
2010-07-01,Terrestre,Paraguay,55237
2010-07-01,Terrestre,Uruguay,44551
2010-07-01,Terrestre,EE.UU. y Canadá,2256
2010-07-01,Terrestre,Resto de América,8972
2010-07-01,Terrestre,Europa,13301
2010-07-01,Terrestre,Resto del mundo,3056
2010-08-01,Aérea,Bolivia,3755
2010-08-01,Aérea,Brasil,101167
2010-08-01,Aérea,Chile,22009
2010-08-01,Aérea,Paraguay,4746
2010-08-01,Aérea,Uruguay,8014
2010-08-01,Aérea,EE.UU. y Canadá,23556
2010-08-01,Aérea,Resto de América,33640
2010-08-01,Aérea,Europa,42747
2010-08-01,Aérea,Resto del mundo,11404
2010-08-01,Fluvial/Marítima,Bolivia,2782
2010-08-01,Fluvial/Marítima,Brasil,8990
2010-08-01,Fluvial/Marítima,Chile,639
2010-08-01,Fluvial/Marítima,Paraguay,4994
2010-08-01,Fluvial/Marítima,Uruguay,33091
2010-08-01,Fluvial/Marítima,EE.UU. y Canadá,2098
2010-08-01,Fluvial/Marítima,Resto de América,4873
2010-08-01,Fluvial/Marítima,Europa,4999
2010-08-01,Fluvial/Marítima,Resto del mundo,927
2010-08-01,Terrestre,Bolivia,14389
2010-08-01,Terrestre,Brasil,27208
2010-08-01,Terrestre,Chile,39569
2010-08-01,Terrestre,Paraguay,47714
2010-08-01,Terrestre,Uruguay,25152
2010-08-01,Terrestre,EE.UU. y Canadá,2266
2010-08-01,Terrestre,Resto de América,7641
2010-08-01,Terrestre,Europa,16364
2010-08-01,Terrestre,Resto del mundo,3148
2010-09-01,Aérea,Bolivia,3764
2010-09-01,Aérea,Brasil,92400
2010-09-01,Aérea,Chile,25417
2010-09-01,Aérea,Paraguay,4274
2010-09-01,Aérea,Uruguay,7707
2010-09-01,Aérea,EE.UU. y Canadá,18620
2010-09-01,Aérea,Resto de América,32436
2010-09-01,Aérea,Europa,40268
2010-09-01,Aérea,Resto del mundo,11506
2010-09-01,Fluvial/Marítima,Bolivia,2719
2010-09-01,Fluvial/Marítima,Brasil,7538
2010-09-01,Fluvial/Marítima,Chile,983
2010-09-01,Fluvial/Marítima,Paraguay,4914
2010-09-01,Fluvial/Marítima,Uruguay,35988
